,model,ave,,amp
0,AWI-ESM-1-1-LR,-2.136700789,AWI-ESM-1-1-LR,-0.4928176
1,CCSM4,-3.833076795,CCSM4,-1.2377734
2,CNRM-CM5,-2.495381196,CNRM-CM5,-0.3236513
3,COSMOS-ASO,-5.108292898,COSMOS-ASO,-0.2287128
4,FGOALS-g2,-5.972661336,FGOALS-g2,-0.1770998
5,GISS-E2-R,-4.66641744,GISS-E2-R,-0.5989096
6,INM-CM4-8,-6.48832194,INM-CM4-8,0.17144322
7,IPSL-CM5A-LR,-5.961554845,IPSL-CM5A-LR,-1.3755172
8,MIROC-ES2L,-4.457368215,MIROC-ES2L,0.41162568
9,MIROC-ESM,-4.456468582,MIROC-ESM,0.11976945
10,MPI-ESM-P,-4.141449293,MPI-ESM-P,-0.6929575
11,MRI-CGCM3,-3.433602015,MRI-CGCM3,-1.576852
12,UofT-CCSM-4,-4.024759293,UofT-CCSM-4,-1.6071004